level,category_id,category_name,parent_id,parent_name,variable_count,path
2,dc/g/HousingUnit_CashRentStatus,Housing Unit by Cash Rent Status,dc/g/Housing,Housing,3,Root > Housing > Housing Unit by Cash Rent Status
2,dc/g/HousingUnit_CommuteMode,Housing Unit by Commute Mode,dc/g/Housing,Housing,6,Root > Housing > Housing Unit by Commute Mode
2,dc/g/HousingUnit_DateBuilt,Housing Unit by Date Built,dc/g/Housing,Housing,15,Root > Housing > Housing Unit by Date Built
2,dc/g/HousingUnit_DateMovedIn,Housing Unit by Date Moved In,dc/g/Housing,Housing,48,Root > Housing > Housing Unit by Date Moved In
2,dc/g/HousingUnit_Facilities,Housing Unit by Facilities,dc/g/Housing,Housing,4,Root > Housing > Housing Unit by Facilities
2,dc/g/HousingUnit_GrossRent,Housing Unit by Gross Rent,dc/g/Housing,Housing,57,Root > Housing > Housing Unit by Gross Rent
2,dc/g/HousingUnit_HomeValue,Housing Unit by Home Value,dc/g/Housing,Housing,33,Root > Housing > Housing Unit by Home Value
2,dc/g/Person_HouseholdDecisionMaking,Person by Household Decision Making,dc/g/Housing,Housing,3,Root > Housing > Person by Household Decision Making
2,dc/g/HousingUnit_HouseholderAge,Housing Unit by Householder Age,dc/g/Housing,Housing,21,Root > Housing > Housing Unit by Householder Age
2,dc/g/HousingUnit_HouseholderEducationalAttainment,Housing Unit by Householder Educational Attainment,dc/g/Housing,Housing,12,Root > Housing > Housing Unit by Householder Educational Attainment
2,dc/g/HousingUnit_HouseholderRace,Housing Unit by Householder Race,dc/g/Housing,Housing,38,Root > Housing > Housing Unit by Householder Race
2,dc/g/HousingUnit_LaborForceStatus,Housing Unit by Labor Force Status,dc/g/Housing,Housing,8,Root > Housing > Housing Unit by Labor Force Status
2,dc/g/HousingUnit_MortgageStatus,Housing Unit by Mortgage Status,dc/g/Housing,Housing,16,Root > Housing > Housing Unit by Mortgage Status
2,dc/g/HousingUnit_Nativity,Housing Unit by Nativity,dc/g/Housing,Housing,304,Root > Housing > Housing Unit by Nativity
2,dc/g/HousingUnit_NumberOfBedrooms,Housing Unit by Number of Bedrooms,dc/g/Housing,Housing,6,Root > Housing > Housing Unit by Number of Bedrooms
2,dc/g/HousingUnit_NumberOfOccupants,Housing Unit by Number of Occupants,dc/g/Housing,Housing,16,Root > Housing > Housing Unit by Number of Occupants
2,dc/g/HousingUnit_NumberOfRooms,Housing Unit by Number of Rooms,dc/g/Housing,Housing,89,Root > Housing > Housing Unit by Number of Rooms
2,dc/g/HousingUnit_NumberOfVehicles,Housing Unit by Number of Vehicles,dc/g/Housing,Housing,32,Root > Housing > Housing Unit by Number of Vehicles
2,dc/g/HousingUnit_OccupancyStatus,Housing Unit by Occupancy Status,dc/g/Housing,Housing,411,Root > Housing > Housing Unit by Occupancy Status
2,dc/g/Person_OccupancyStatus,Person by Occupancy Status,dc/g/Housing,Housing,18,Root > Housing > Person by Occupancy Status
2,dc/g/HousingUnit_OccupancyTenure,Housing Unit by Occupancy Tenure,dc/g/Housing,Housing,227,Root > Housing > Housing Unit by Occupancy Tenure
2,dc/g/HousingUnit_OwnerCost,Housing Unit by Owner Cost,dc/g/Housing,Housing,32,Root > Housing > Housing Unit by Owner Cost
2,dc/g/HousingUnit_PlaceOfBirth,Housing Unit by Place of Birth,dc/g/Housing,Housing,304,Root > Housing > Housing Unit by Place of Birth
2,dc/g/Person_PlaceOfResidenceClassification,Person by Place of Residence Classification,dc/g/Housing,Housing,4330,Root > Housing > Person by Place of Residence Classification
2,dc/g/HousingUnit_PropertyTax,Housing Unit by Property Tax,dc/g/Housing,Housing,12,Root > Housing > Housing Unit by Property Tax
2,dc/g/HousingUnit_ResidenceType,Housing Unit by Residence Type,dc/g/Housing,Housing,8,Root > Housing > Housing Unit by Residence Type
2,dc/g/HousingUnit_TelephoneServiceAvailability,Housing Unit by Telephone Service Availability,dc/g/Housing,Housing,16,Root > Housing > Housing Unit by Telephone Service Availability
1,dc/g/Crime,Crime,dc/g/Root,Data Commons Variables,8637,Root > Crime
2,dc/g/Person_CrimeType,Person by Crime Type,dc/g/Crime,Crime,11,Root > Crime > Person by Crime Type
2,dc/g/CriminalActivities,Criminal Activities,dc/g/Crime,Crime,15,Root > Crime > Criminal Activities
