"MinDate","MeasurementMethods","StatVar","observationPeriods","ScalingFactors","Units","NumPlaces"
"2018","[]","Count_MortalityEvent_TransportAccidents_Male_White","[P1Y]","[]","[]","995"
"2018","[]","Count_MortalityEvent_HodgkinsDisease_Male_White","[P1Y]","[]","[]","2"
"2018","[]","Count_MortalityEvent_DiseasesOfHeart_Female_TwoOrMoreRaces","[P1Y]","[]","[]","31"
"2018","[]","Count_MortalityEvent_CerebrovascularDiseases_Male_NativeHawaiianOrOtherPacificIslanderAlone","[P1Y]","[]","[]","1"
"2018","[]","Count_MortalityEvent_Assault_Homicide_ByOtherAndUnspecifiedMeansAndTheirSequelae_Male_White","[P1Y]","[]","[]","48"
"2018","[]","Count_MortalityEvent_Accidents_UnintentionalInjuries__Male_Asian","[P1Y]","[]","[]","72"
"2018","[]","Count_MortalityEvent_AlzheimersDisease_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","99"
"2018","[]","Count_MortalityEvent_MultipleMyelomaAndImmunoproliferativeNeoplasms_Male_Asian","[P1Y]","[]","[]","3"
"2018","[]","Count_MortalityEvent_OtherDiseasesOfArteriesArteriolesAndCapillaries_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","20"
"2018","[]","Count_MortalityEvent_AllOtherFormsOfChronicIschemicHeartDisease_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","284"
"2018","[]","Count_MortalityEvent_EventsOfUndeterminedIntent_Female_White","[P1Y]","[]","[]","43"
"2018","[]","Count_MortalityEvent_InSituNeoplasmsBenignNeoplasmsAndNeoplasmsOfUncertainOrUnknownBehavior_Female_Asian","[P1Y]","[]","[]","5"
"2018","[]","Count_MortalityEvent_IntentionalSelf-Harm_Suicide_ByOtherAndUnspecifiedMeansAndTheirSequelae_Female_Asian","[P1Y]","[]","[]","11"
"2018","[]","Count_MortalityEvent_OtherChronicLiverDiseaseAndCirrhosis_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","27"
"2018","[]","Count_MortalityEvent_DiseasesOfHeart_Male_White","[P1Y]","[]","[]","2847"
"2018","[]","Count_MortalityEvent_AlzheimersDisease_Male_TwoOrMoreRaces","[P1Y]","[]","[]","2"
"2018","[]","Count_MortalityEvent_CerebrovascularDiseases_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","[]","8"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmsOfTracheaBronchusAndLung_Female_TwoOrMoreRaces","[P1Y]","[]","[]","5"
"2018","[]","Count_MortalityEvent_HypertensiveHeartAndRenalDisease_Female_White","[P1Y]","[]","[]","261"
"2018","[]","Count_MortalityEvent_OtherHeartDiseases_Male_Asian","[P1Y]","[]","[]","66"
"2018","[]","Count_MortalityEvent_ChronicLowerRespiratoryDiseases_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","181"
