"ScalingFactors","Units","StatVar","NumPlaces","MinDate","observationPeriods","MeasurementMethods"
"[]","[Percent]","Adjusted_GrowthRate_GrossDomesticProduct_EconomicActivity_YearOnChange","46","2020-03","[P3M]","[ChainLinkedVolume]"
"[]","[Percent]","Adjusted_GrowthRate_GrossDomesticProduct_EconomicActivity_QuarterOnChange","46","2020-03","[P3M]","[ChainLinkedVolume]"
