"MinDate","StatVar","NumPlaces","Units","ScalingFactors","observationPeriods","MeasurementMethods"
"2018","Count_Student_AttemptedRobberyWithoutWeapon_NotJuvenileJusticeFacility_HomicideNotOccurred","64","[]","[]","[]","[]"
"2018","Count_Student_RobberyWithWeapon_NotJuvenileJusticeFacility_FirearmNotPresent_HomicideOccurred","117","[]","[]","[]","[]"
"2018","Count_Student_PossessionOfFirearmOrExplosive_NotJuvenileJusticeFacility_FirearmNotPresent_HomicideNotOccurred","101372","[]","[]","[]","[]"
"2018","Count_Student_RobberyWithoutWeapon_NotJuvenileJusticeFacility_FirearmPresent","3","[]","[]","[]","[]"
"2018","Count_Student_RobberyWithWeapon_NotJuvenileJusticeFacility","17","[]","[]","[]","[]"
"2018","Count_Student_ThreatOfAttackWithWeapon_NotJuvenileJusticeFacility_FirearmPresent_HomicideNotOccurred","512","[]","[]","[]","[]"
"2021","Count_Student_ThreatOfAttackWithWeapon_JuvenileJusticeFacility_FirearmPresent_HomicideNotOccurred","1","[]","[]","[]","[]"
"2018","Count_Student_ThreatOfAttackWithWeapon_NotJuvenileJusticeFacility_FirearmPresent","3","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithWeapon_NotJuvenileJusticeFacility_FirearmPresent_HomicideOccurred","34","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithFirearmOrExplosive_NotJuvenileJusticeFacility_FirearmPresent_HomicideNotOccurred","372","[]","[]","[]","[]"
"2018","Count_Student_ThreatOfAttackWithFirearmOrExplosive_JuvenileJusticeFacility_FirearmNotPresent_HomicideNotOccurred","589","[]","[]","[]","[]"
"2018","Count_Student_RobberyWithoutWeapon_NotJuvenileJusticeFacility_FirearmPresent_HomicideOccurred","34","[]","[]","[]","[]"
"2018","Count_Student_RobberyWithoutWeapon_NotJuvenileJusticeFacility_FirearmNotPresent_HomicideNotOccurred","99782","[]","[]","[]","[]"
"2021","Count_Student_ThreatOfAttackWithoutWeapon_JuvenileJusticeFacility_FirearmPresent_HomicideOccurred","1","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithFirearmOrExplosive_NotJuvenileJusticeFacility_FirearmNotPresent_HomicideOccurred","38","[]","[]","[]","[]"
"2018","Count_Student_RobberyWithFirearmOrExplosive_NotJuvenileJusticeFacility_FirearmPresent_HomicideNotOccurred","373","[]","[]","[]","[]"
"2021","Count_Student_AttemptedRobberyWithoutWeapon_JuvenileJusticeFacility_FirearmPresent_HomicideNotOccurred","1","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithWeapon_NotJuvenileJusticeFacility_FirearmPresent","3","[]","[]","[]","[]"
"2018","Count_Student_ThreatOfAttackWithoutWeapon_NotJuvenileJusticeFacility_FirearmPresent_HomicideOccurred","34","[]","[]","[]","[]"
"2021","Count_Student_PossessionOfFirearmOrExplosive_NotJuvenileJusticeFacility_FirearmPresent","1","[]","[]","[]","[]"
"2021","Count_Student_AttemptedRobberyWithoutWeapon_JuvenileJusticeFacility_FirearmPresent_HomicideOccurred","1","[]","[]","[]","[]"
"2018","Count_Student_PossessionOfFirearmOrExplosive_JuvenileJusticeFacility_FirearmNotPresent_HomicideNotOccurred","689","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithWeapon_JuvenileJusticeFacility_FirearmNotPresent_HomicideNotOccurred","681","[]","[]","[]","[]"
"2018","Count_Student_ThreatOfAttackWithWeapon_NotJuvenileJusticeFacility_FirearmNotPresent_HomicideOccurred","117","[]","[]","[]","[]"
"2018","Count_Student_RobberyWithWeapon_NotJuvenileJusticeFacility_FirearmPresent","3","[]","[]","[]","[]"
"2018","Count_Student_RobberyWithWeapon_NotJuvenileJusticeFacility_FirearmNotPresent_HomicideNotOccurred","99610","[]","[]","[]","[]"
"2018","Count_Student_ThreatOfAttackWithWeapon_NotJuvenileJusticeFacility_FirearmPresent_HomicideOccurred","34","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithoutWeapon_NotJuvenileJusticeFacility","17","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithoutWeapon_JuvenileJusticeFacility_FirearmNotPresent_HomicideNotOccurred","681","[]","[]","[]","[]"
"2018","Count_Student_PossessionOfFirearmOrExplosive_NotJuvenileJusticeFacility_FirearmNotPresent_HomicideOccurred","118","[]","[]","[]","[]"
"2018","Count_Student_ThreatOfAttackWithoutWeapon_JuvenileJusticeFacility_FirearmNotPresent_HomicideNotOccurred","680","[]","[]","[]","[]"
"2018","Count_Student_ThreatOfAttackWithFirearmOrExplosive_NotJuvenileJusticeFacility_FirearmPresent_HomicideOccurred","14","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithFirearmOrExplosive_JuvenileJusticeFacility_FirearmNotPresent_HomicideNotOccurred","589","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithFirearmOrExplosive_NotJuvenileJusticeFacility_FirearmNotPresent_HomicideNotOccurred","94335","[]","[]","[]","[]"
"2018","Count_Student_ThreatOfAttackWithFirearmOrExplosive_NotJuvenileJusticeFacility_FirearmPresent_HomicideNotOccurred","377","[]","[]","[]","[]"
"2021","Count_Student_PossessionOfFirearmOrExplosive_NotJuvenileJusticeFacility","12","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithoutWeapon_NotJuvenileJusticeFacility_FirearmPresent","3","[]","[]","[]","[]"
"2018","Count_Student_PossessionOfFirearmOrExplosive_NotJuvenileJusticeFacility_HomicideNotOccurred","36","[]","[]","[]","[]"
"2018","Count_Student_RobberyWithFirearmOrExplosive_NotJuvenileJusticeFacility_FirearmNotPresent_HomicideOccurred","38","[]","[]","[]","[]"
"2018","Count_Student_RobberyWithWeapon_NotJuvenileJusticeFacility_HomicideNotOccurred","64","[]","[]","[]","[]"
"2018","Count_Student_ThreatOfAttackWithoutWeapon_NotJuvenileJusticeFacility_HomicideNotOccurred","63","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithWeapon_NotJuvenileJusticeFacility_HomicideNotOccurred","64","[]","[]","[]","[]"
"2018","Count_Student_RobberyWithWeapon_JuvenileJusticeFacility_FirearmNotPresent_HomicideNotOccurred","681","[]","[]","[]","[]"
"2018","Count_Student_ThreatOfAttackWithoutWeapon_NotJuvenileJusticeFacility_FirearmPresent","3","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithWeapon_NotJuvenileJusticeFacility","17","[]","[]","[]","[]"
"2021","Count_Student_PossessionOfFirearmOrExplosive_JuvenileJusticeFacility_FirearmPresent_HomicideOccurred","1","[]","[]","[]","[]"
"2018","Count_Student_RobberyWithWeapon_NotJuvenileJusticeFacility_FirearmPresent_HomicideNotOccurred","512","[]","[]","[]","[]"
