"ScalingFactors","Units","NumPlaces","observationPeriods","MinDate","MeasurementMethods","StatVar"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_FinancialAndInsuranceActivities_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_30To34Years_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_55To59Years_MiningQuarrying_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_InformationAndCommunication_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_40To44Years_RealEstate_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_40To44Years_InformationAndCommunication_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_ConstructionSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_20To24Years_HumanHealthAndSocialWork_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_AccommodationFoodSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_ArtsEntertainmentRecreation_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_25To29Years_ProfessionalScientificTechnicalActivities_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_65To69Years_ProcessingIndustry_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_20To24Years_PublicAdministrationAndDefence_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_30To34Years_ProcessingIndustry_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_ProcessingIndustry_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_25To29Years_MiningQuarrying_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_55To59Years_ConstructionSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_PublicAdministrationAndDefence_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_30To34Years_WholesaleRetailTradeAndRepair_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_20To24Years_WholesaleRetailTradeAndRepair_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_55To59Years_TransportStorageSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_HouseholdActivities_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_ConstructionSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_25To29Years_WaterSupplySewerageWasteManagement_Employed_Female"
