"NumPlaces","ScalingFactors","Units","StatVar","observationPeriods","MeasurementMethods","MinDate"
"53","[]","[Percent]","Amount_Debt_JPY_LenderIslamicDevBank_AsAFractionOf_Amount_Debt_LenderIslamicDevBank","[P1Y]","[]","1970"
"48","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderNordicDevelopmentFund_AsAFractionOf_Amount_Debt_LenderNordicDevelopmentFund","[P1Y]","[]","1970"
"3","[]","[Percent]","Amount_Debt_WorldBankOtherCurrency_LenderCountryBIH_AsAFractionOf_Amount_Debt_LenderCountryBIH","[P1Y]","[]","1991"
"3","[]","[Percent]","Amount_Debt_EUR_LenderCountryGTM_AsAFractionOf_Amount_Debt_LenderCountryGTM","[P1Y]","[]","2001"
"98","[]","[Percent]","Amount_Debt_CHF_LenderCountryNLD_AsAFractionOf_Amount_Debt_LenderCountryNLD","[P1Y]","[]","1970"
"121","[]","[Percent]","Amount_Debt_USD_LenderCountryGBR_AsAFractionOf_Amount_Debt_LenderCountryGBR","[P1Y]","[]","1970"
"2","[]","[Percent]","Amount_Debt_EUR_LenderCountryJOR_AsAFractionOf_Amount_Debt_LenderCountryJOR","[P1Y]","[]","2001"
"23","[]","[Percent]","Amount_Debt_DEM_LenderCountryPRT_AsAFractionOf_Amount_Debt_LenderCountryPRT","[P1Y]","[]","1970"
"115","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderCountryJPN_AsAFractionOf_Amount_Debt_LenderCountryJPN","[P1Y]","[]","1970"
"19","[]","[Percent]","Amount_Debt_FRF_LenderInterAmericanDevBank_AsAFractionOf_Amount_Debt_LenderInterAmericanDevBank","[P1Y]","[]","1970"
"4","[]","[Percent]","Amount_Debt_FRF_LenderCountryCHL_AsAFractionOf_Amount_Debt_LenderCountryCHL","[P1Y]","[]","1970"
"24","[]","[Percent]","Amount_Debt_USD_LenderEconomicCommunityofWestAfricanStates_AsAFractionOf_Amount_Debt_LenderEconomicCommunityofWestAfricanStates","[P1Y]","[]","1970"
"104","[]","[Percent]","Amount_Debt_JPY_LenderBondholders_AsAFractionOf_Amount_Debt_LenderBondholders","[P1Y]","[]","1970"
"3","[]","[Percent]","Amount_Debt_SDR_LenderCountryUZB_AsAFractionOf_Amount_Debt_LenderCountryUZB","[P1Y]","[]","1992"
"97","[]","[Percent]","Amount_Debt_DEM_LenderCountryKWT_AsAFractionOf_Amount_Debt_LenderCountryKWT","[P1Y]","[]","1970"
