"MinDate","StatVar","NumPlaces","observationPeriods","MeasurementMethods","Units","ScalingFactors"
"1970","AmountInterestRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_WorldBankOtherPrivate_LongTermExternalDebt_LenderCountryESP","66","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderAsianDevBank","43","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1996","AmountInterestRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryMDA","5","[P1Y]","[]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderAsianDevBank","43","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1977","AmountInterestRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_WorldBankOtherPrivate_LongTermExternalDebt_LenderCountryCOL","11","[P1Y]","[]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryIND","83","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1976","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderUNHighCommissionerforRefugees","6","[P1Y]","[]","[USDollar]","[]"
"1988","AmountInterestRepayment_Debt_LongTermExternalDebt_LenderInternationalBankforEconomicCooperation","13","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1979","AmountInterestRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderGermanDemRep","8","[P1Y]","[]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryDEU","123","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1971","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryNZL","13","[P1Y]","[]","[USDollar]","[]"
