"Units","ScalingFactors","MinDate","observationPeriods","NumPlaces","StatVar","MeasurementMethods"
"[USDollar]","[]","1993","[P1Y]","13","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderInternationalBankforEconomicCooperation","[, WorldBankProjection]"
"[USDollar]","[]","1976","[P1Y]","7","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_WorldBankOtherPrivate_LongTermExternalDebt_LenderCountryPER","[]"
"[USDollar]","[]","2008","[P1Y]","6","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderArabTownsOrganization","[]"
"[USDollar]","[]","2003","[P1Y]","5","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountrySWZ","[]"
"[USDollar]","[]","1970","[P1Y]","72","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryCHE","[, WorldBankProjection]"
"[USDollar]","[]","1976","[P1Y]","15","AmountPrincipalRepayment_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryDZA","[, WorldBankProjection]"
"[USDollar]","[]","1995","[P1Y]","10","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryUZB","[]"
"[USDollar]","[]","1970","[P1Y]","42","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryBGR","[, WorldBankProjection]"
"[USDollar]","[]","1989","[P1Y]","12","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryOMN","[]"
"[USDollar]","[]","1970","[P1Y]","35","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderInternationalFinanceCorporation","[, WorldBankProjection]"
"[USDollar]","[]","1970","[P1Y]","35","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderInternationalFinanceCorporation","[, WorldBankProjection]"
"[USDollar]","[]","1970","[P1Y]","84","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryBEL","[, WorldBankProjection]"
"[USDollar]","[]","1981","[P1Y]","7","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryKEN","[]"
"[USDollar]","[]","1975","[P1Y]","8","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_WorldBankOtherPrivate_LongTermExternalDebt_LenderCountryPHL","[]"
"[USDollar]","[]","1975","[P1Y]","15","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderUNDevelopmentProgramme","[]"
"[USDollar]","[]","1996","[P1Y]","25","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountrySVK","[]"
"[USDollar]","[]","1976","[P1Y]","8","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryPER","[]"
"[USDollar]","[]","1975","[P1Y]","26","AmountPrincipalRepayment_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountrySWE","[, WorldBankProjection]"
"[USDollar]","[]","2008","[P1Y]","6","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountrySVN","[]"
"[USDollar]","[]","2012","[P1Y]","11","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderWorldTradeOrganization","[, WorldBankProjection]"
"[USDollar]","[]","1991","[P1Y]","5","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryHTI","[]"
"[USDollar]","[]","1984","[P1Y]","16","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCentralBankofWestAfricanStates","[, WorldBankProjection]"
