"ScalingFactors","MeasurementMethods","StatVar","NumPlaces","Units","observationPeriods","MinDate"
"[100]","[]","Count_Person_Years14Onwards_Unemployed_AsAFractionOf_Count_Person_Years14Onwards","33","[Percent]","[P3M]","2022-06"
"[100]","[]","Count_Person_Years14Onwards_InLaborForce_AsAFractionOf_Count_Person_Years14Onwards","33","[Percent]","[P3M]","2022-06"
