"MeasurementMethods","MinDate","NumPlaces","observationPeriods","StatVar","Units","ScalingFactors"
"[]","1990","152","[P1Y]","Count_CriminalActivities_MurderAndNonNegligentManslaughter_Female_AsFractionOf_Count_Person_Female","[Per100000Females]","[]"
"[]","1990","188","[P1Y]","Count_Person_15To64Years_Female_InLaborForce_AsFractionOf_Count_Person_15To64Years_Female","[]","[]"
"[]","1975","104","[P1Y]","Amount_Stock_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal","[Percent]","[100]"
"[]","1994","130","[P1Y]","Count_Person_25OrMoreYears_Female_DoctorateDegree_AsFractionOf_Count_Person_25OrMoreYears_Female","[]","[]"
"[]","1961","215","[P1Y]","GrowthRate_Amount_EconomicActivity_GrossDomesticProduction","[]","[]"
"[WorldBankWeightedAverage]","1960","218","[P1Y]","Count_Death_AsAFractionOfCount_Person","[Per1000Persons]","[]"
"[]","1960","215","[P1Y]","Amount_EconomicActivity_GrossDomesticProduction_Nominal","[USDollar]","[]"
"[]","1990","188","[P1Y]","Count_Person_15To64Years_Male_InLaborForce_AsFractionOf_Count_Person_15To64Years_Male","[]","[]"
"[WorldBankEstimate]","1970","200","[P1Y]","Amount_Remittance_InwardRemittance","[USDollar]","[]"
"[JointChildMalnutritionEstimate]","1983","161","[P1Y]","Count_Person_Upto4Years_SevereWasting_AsFractionOf_Count_Person_Upto4Years","[Percent]","[100]"
"[]","1970","187","[P1Y]","Count_Person_25OrMoreYears_Female_BachelorsDegreeOrHigher_AsFractionOf_Count_Person_25OrMoreYears_Female","[]","[]"
"[]","1994","100","[P1Y]","Count_Person_7To14Years_Female_Employed_AsFractionOf_Count_Person_7To14Years_Female","[Percent]","[100]"
"[]","1990","166","[P1Y]","Count_Person_25OrMoreYears_Male_MastersDegreeOrHigher_AsFractionOf_Count_Person_25OrMoreYears_Male","[]","[]"
"[]","1960","215","[P1Y]","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","[USDollar]","[]"
"[WorldHealthOrganizationEstimates]","2000","188","[P1Y]","Amount_Consumption_Alcohol_15OrMoreYears_AsFractionOf_Count_Person_15OrMoreYears","[Liter]","[]"
"[]","1990","188","[P1Y]","Count_Person_15OrMoreYears_InLaborForce_Female_AsFractionOf_Count_Person_InLaborForce","[]","[]"
"[]","1990","216","[P1Y]","Count_Person_ResidingLessThan5MetersAboveSeaLevel_AsFractionOf_Count_Person","[]","[]"
"[]","1960","215","[P1Y]","Count_Product_MobileCellularSubscription_AsFractionOf_Count_Person","[]","[]"
"[InternationalLaborOrganization]","1990","188","[P1Y]","Count_Person_InLaborForce","[]","[]"
"[]","2000","186","[P1Y]","Count_Death_IntentionalSelfHarm_AsFractionOf_Count_Person","[Per100000Persons]","[]"
"[UnitedNationsIGMEEstimate]","1960","197","[P1Y]","Count_Death_0Years_AsFractionOf_Count_BirthEvent_LiveBirth","[Per1000LiveBirths]","[]"
"[JointChildMalnutritionEstimate]","1986","160","[P1Y]","Count_Person_Upto4Years_Female_Wasting_AsFractionOf_Count_Person_Upto4Years_Female","[Percent]","[100]"
"[WorldBankEstimate]","1970","200","[P1Y]","Amount_Remittance_OutwardRemittance","[USDollar]","[]"
"[]","1986","160","[P1Y]","Count_Person_Upto4Years_Female_Overweight_AsFractionOf_Count_Person_Upto4Years_Female","[]","[]"
"[]","1990","214","[P1Y]","Count_Person_IsInternetUser_PerCapita","[]","[100]"
"[]","1990","210","[P1Y]","Amount_Production_ElectricityFromNuclearSources_AsFractionOf_Amount_Production_Energy","[]","[]"
"[JointChildMalnutritionEstimate]","1986","159","[P1Y]","Count_Person_Upto4Years_Female_SevereWasting_AsFractionOf_Count_Person_Upto4Years_Female","[Percent]","[100]"
"[]","1970","184","[P1Y]","Count_Person_25OrMoreYears_TertiaryEducation_AsFractionOf_Count_Person_25OrMoreYears","[]","[]"
"[]","1990","210","[P1Y]","Amount_Production_ElectricityFromOilGasOrCoalSources_AsFractionOf_Amount_Production_Energy","[]","[]"
"[]","1961","218","[P1Y]","GrowthRate_Count_Person","[]","[]"
"[]","1990","213","[P1Y]","Amount_Consumption_RenewableEnergy_AsFractionOf_Amount_Consumption_Energy","[]","[]"
"[]","1975","104","[P1Y]","Amount_Stock","[USDollar]","[]"
"[]","1960","218","[]","LifeExpectancy_Person","[Year]","[]"
"[]","2000","210","[P1Y]","Count_Person_20To79Years_Diabetes_AsFractionOf_Count_Person_20To79Years","[]","[]"
