"MinDate","StatVar","NumPlaces","Units","MeasurementMethods","ScalingFactors","observationPeriods"
"2010","worldBank/PRJ_ATT_80UP_1_FE","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1994","worldBank/UIS_EA_4T6_AG25T99_M","161","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1998","worldBank/SE_PRM_NINT_FE_ZS","172","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1990","worldBank/PA_NUS_PRVT_PP","209","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1970","worldBank/SE_PRM_NENR_FE","196","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1980","worldBank/SP_URB_TOTL_FE_ZS","197","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1998","worldBank/SE_TER_CMPL_FE_ZS","154","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/UIS_XGDP_4_FSGOV","150","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1998","worldBank/UIS_SLE_4_GPI","147","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1970","worldBank/SE_TER_CUAT_ST_ZS","184","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1976","worldBank/SL_TLF_PART_MA_ZS","174","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_POP_1519_3_MF","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1994","worldBank/UIS_REPR_1_G2_M","184","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1970","worldBank/DT_NFL_DPNG_CD","100","[USDollar]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/BAR_TER_SCHL_7074","144","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1972","worldBank/GC_TAX_OTHR_RV_ZS","161","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/SL_UEM_1524_FE_NE_ZS","206","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/SP_POP_0004_FE","221","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/SP_POP_TOTL_FE_ZS","221","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1994","worldBank/UIS_REPR_1_G2_F","184","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_ATT_60UP_2_MA","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/BAR_PRM_CMPT_5054_FE_ZS","144","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_ATT_60UP_2_MF","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/HD_HCI_HLOS_MA","169","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2000","worldBank/SH_DTH_NCOM_60UP_FE_ZS","187","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/SP_DYN_CDRT_IN","221","[USDollar]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_POP_1519_3_MA","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1961","worldBank/AG_LND_ARBL_ZS","210","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/BAR_PRM_CMPT_2529_FE_ZS","144","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/BX_GSR_MRCH_CD","200","[USDollar]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1990","worldBank/EN_POP_EL5M_UR_ZS","219","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2002","worldBank/FM_AST_DOMO_ZG_M3","150","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2003","worldBank/RESLV_ISV_CPI_04_XD_DB1519","213","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1961","worldBank/NV_AGR_TOTL_KD_ZG","199","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2000","worldBank/BI_EMP_TOTL_PB_FE_ZS","134","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/BAR_SEC_SCHL_1519","144","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_ATT_80UP_1_MA","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2012","worldBank/EN_CLC_CSTP_ZS","114","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_POP_2024_2_MF","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_POP_2024_2_MA","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_ATT_80UP_1_MF","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1994","worldBank/UIS_SAP_23_GPV_G1_M","209","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2000","worldBank/SH_DTH_COMM_0004_FE_ZS","187","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2000","worldBank/SH_STA_ODFC_ZS","218","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/BAR_POP_5054_FE","144","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/TX_VAL_MRCH_HI_ZS","209","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1994","worldBank/SL_TLF_0714_ZS","100","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/BAR_PRM_SCHL_4044","144","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1994","worldBank/UIS_SAP_23_GPV_G1_F","209","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2003","worldBank/IC_REG_COST_PC_MA_ZS","194","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1998","worldBank/SE_TER_GRAD_FE_SV_ZS","142","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2000","worldBank/SH_DTH_COMM_60UP_ZS","187","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_ATT_ALL_3_MF","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1990","worldBank/1_1_TOTAL_FINAL_ENERGY_CONSUM","233","[Terajoule]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/BAR_TER_CMPT_6064_ZS","144","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1980","worldBank/TT_PRI_MRCH_XD_WD","207","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1990","worldBank/SL_TLF_CACT_ZS","191","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1989","worldBank/VC_BTL_DETH","111","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_ATT_2024_1_MA","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1990","worldBank/AG_LND_EL5M_RU_ZS","219","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2014","worldBank/IC_IMP_CSDC_CD","194","[USDollar]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1963","worldBank/NV_MNF_MTRN_ZS_UN","155","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1997","worldBank/UIS_GTVP_3_V","192","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_ATT_ALL_3_MA","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1970","worldBank/SE_ADT_1524_LT_FE_ZS","176","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2000","worldBank/SH_DTH_INJR_0004_ZS","187","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1984","worldBank/SP_UWT_TFRT","155","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/UIS_XSPENDP_2_FDPUB_FNCAP","145","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1972","worldBank/GC_NFN_TOTL_GD_ZS","163","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_ATT_60UP_NED_MF","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_ATT_2529_2_MA","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/BN_GSR_MRCH_CD","200","[USDollar]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_ATT_2024_1_MF","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/UIS_XSPENDP_0_FDPUB_FNCAP","154","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_ATT_2529_2_MF","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_ATT_60UP_NED_MA","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1990","worldBank/AG_LND_FRST_ZS","218","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_POP_ALL_2_MA","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1990","worldBank/EN_ATM_PM25_MC_T1_ZS","194","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1983","worldBank/SH_STA_OWGH_ZS","165","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/FI_RES_TOTL_MO","183","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1963","worldBank/NV_MNF_OTHR_ZS_UN","163","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/NY_GDP_PCAP_KN","214","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/NY_GNP_PCAP_KD","207","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
